Date,Close,High,Low,Open,Volume
2021-05-10,17.563533782958984,17.956175337545584,17.352848649906562,17.822103146202828,6828431
2021-05-11,17.99448013305664,18.032785685102624,17.333692464247218,17.46776463630268,6637767
2021-05-12,18.032785415649414,18.214741808288924,17.793369782501337,17.860405867527387,4108311
2021-05-13,17.96575355529785,18.195592397975407,17.802950813409993,17.908294301277653,3741700
2021-05-14,18.243473052978516,18.320085993179188,17.88913888952413,18.051941615775128,4068107
2021-05-17,18.10940170288086,18.29135812925715,18.090248010294584,18.243473897791464,3813522
2021-05-18,18.138132095336914,18.339240386079336,18.118978402905263,18.118978402905263,2567550
2021-05-19,17.889137268066406,18.166858466147687,17.86998357810317,18.10939922285439,3762802
2021-05-20,18.080669403076172,18.186012875444337,17.63056863071521,17.89871482101759,5170600
2021-05-21,18.42542839050293,18.57865426191945,18.071094247825904,18.18601273809006,8360776
2021-05-24,18.77976417541504,18.913836354939185,18.22431994033385,18.415851364425993,9212744
2021-05-25,18.875530242919922,19.02875794972818,18.70315249762921,18.760611746059446,7762479
2021-05-26,18.597808837890625,19.03833278253624,18.549926435767077,18.856378193189517,11189946
2021-05-27,18.98087501525879,19.33521102904107,18.65526954094968,18.65526954094968,11923348
2021-05-28,19.057485580444336,19.210711451970997,18.84680046374429,18.980872644681003,7449170
2021-05-31,19.162830352783203,19.32563308065519,19.028758162746247,19.057486873984683,6416553
2021-06-01,19.74700355529785,19.95768866907866,19.114944560762538,19.124521405924817,14651999
2021-06-02,19.411823272705078,19.69912135066517,19.249020541435257,19.660815792682254,7854666
2021-06-03,19.545894622802734,19.976843547758783,19.296902113561078,19.33520949648897,10268686
2021-06-04,19.80446434020996,20.187529043516456,19.45970519393582,19.45970519393582,8892494
2021-06-07,20.14922523498535,20.302451129604524,19.919384566459847,19.919384566459847,10799666
2021-06-08,20.082185745239258,20.254565319922303,19.766157133852545,20.110916283218632,8658302
2021-06-09,20.24498748779297,20.36948465304272,19.967266273906596,20.024725520469893,8741687
2021-06-10,20.618478775024414,20.77170466228228,20.072609496747024,20.25456592283949,12116556
2021-06-11,20.44609832763672,21.135614791039398,20.35990854138681,20.675937148770945,14943447
2021-06-15,20.053455352783203,20.70466621295213,19.900229482931273,20.465250562983936,11793029
2021-06-16,20.091760635375977,20.570591928840205,20.043878236668125,20.417366061059365,9141057
2021-06-17,20.417367935180664,20.58974750890603,19.99599584680717,20.091762479609773,9903334
2021-06-18,21.106887817382812,21.279265577474906,20.446100010607903,20.446100010607903,17458168
2021-06-21,20.8387393951416,21.212227242552608,20.723819073924695,20.97281158106421,11153481
2021-06-22,20.74297332763672,21.240958355417753,20.580170600346634,21.231381509506974,9902292
2021-06-23,21.183496475219727,21.212225182786913,20.34075240571929,20.589744888680947,12681736
2021-06-24,20.685514450073242,21.336725370922807,20.474827489447428,21.240958736692583,11118061
2021-06-25,20.46525001525879,20.733394367024914,20.19710383689626,20.637627744281414,8548542
2021-06-28,20.350330352783203,20.59932284923236,20.158797101177246,20.44609697858618,7333144
2021-06-29,19.928958892822266,20.417367055126647,19.91938204729514,20.302448561994154,7177276
2021-06-30,20.44609832763672,20.493980730399297,19.87150036150286,19.90980774499019,7262164
2021-07-01,20.5418643951416,20.924929086503003,20.197105259618073,20.474826475881393,9007553
2021-07-02,20.493982315063477,20.666361900892266,20.110917583553235,20.359910115684073,5922762
2021-07-05,20.47482681274414,20.532287887341127,20.06303340437842,20.398213873211382,7488511
2021-07-06,20.953659057617188,21.030272000499647,20.19710647497749,20.465252688364412,12497204
2021-07-07,20.867469787597656,21.145191003170908,20.59932359101268,20.781280003930934,9319246
2021-07-08,21.882591247558594,21.978357874944585,20.541863943944193,20.771702753712677,19662782
2021-07-09,21.61444664001465,21.7964030627214,21.28884117900115,21.7485188322214,14429206
2021-07-12,22.696603775024414,22.907288884106457,21.700633819517158,21.71021066446585,23085848
2021-07-13,23.1083984375,24.046909202272747,22.983903099413972,23.750032472089167,31122527
2021-07-14,22.763641357421875,23.481888336356626,22.696605264976743,23.00305701706679,18283206
2021-07-15,23.577653884887695,23.682995528217646,22.840253248595833,22.96474858220266,18681303
2021-07-16,23.635116577148438,23.960722052970812,23.098825957333762,23.577657324531756,18256215
2021-07-19,26.00054168701172,26.00054168701172,22.993481422744757,23.366969287604338,35823710
2021-07-20,25.234411239624023,26.14418966285355,25.100337226289692,26.14418966285355,30932302
2021-07-21,26.335721969604492,26.508101532933704,24.85134564377447,25.454672288830228,28823280
2021-07-22,25.71324348449707,28.10740019950431,25.579169466370967,25.866469368129803,46964983
2021-07-23,25.454673767089844,26.2112281552829,25.042878525576825,25.885622700439885,24713487
2021-07-26,23.65427017211914,25.665360444732833,23.19459067330198,25.31102625736999,38843423
2021-07-27,24.12352180480957,25.04287703926311,23.568077560678102,23.893682996196183,27458486
2021-07-28,24.228864669799805,24.822616325212646,23.271202005750855,24.11394617300801,19053384
2021-07-29,25.464250564575195,25.7994328646992,24.42997495309888,24.65981377491622,23571411
2021-07-30,26.62302017211914,26.718786799678576,25.11949014720445,25.186526238517104,26342666
2021-08-02,29.285324096679688,29.285324096679688,27.791370857152238,27.791370857152238,39026755
2021-08-03,29.725849151611328,30.587745160240495,29.007602173320937,29.974839830013725,54845935
2021-08-04,29.44812774658203,30.22383401480104,29.132099131633794,29.706697111520572,25096953
2021-08-05,29.677967071533203,30.444098333111715,29.266171815256712,29.448128241038646,27241090
2021-08-06,29.400243759155273,30.300445325009218,28.34681449053407,29.419395623729223,32478959
2021-08-09,30.26213836669922,31.219799135083154,29.14167305750832,30.041876408236877,37402860
2021-08-10,29.496007919311523,30.070605855733746,28.92141180948579,30.070605855733746,23772387
2021-08-11,29.055484771728516,29.974840033412303,28.921412586048763,29.496008711302864,15142883
2021-08-12,28.758609771728516,29.45770306139504,28.308507161359675,28.844799555560993,17094784
2021-08-13,27.432619094848633,28.825870221991337,26.96179676781338,28.777827838034472,29260148
2021-08-16,28.72017478942871,29.738690190552997,27.384576721744313,27.432619105720214,27554714
2021-08-17,27.65361785888672,28.989215879329432,27.480662350371954,28.941173497052844,17117291
2021-08-18,26.702363967895508,28.086004348496168,26.442930709270616,27.893832989762434,20646831
2021-08-19,26.990623474121094,27.461445804231957,26.663930129521805,27.00023231751513,12751535
2021-08-20,27.336532592773438,27.52870394910949,26.51979928842198,26.884926148350033,13874680
2021-08-23,26.18349838256836,27.749703167504876,26.145063009833994,27.749703167504876,21093243
2021-08-24,26.462148666381836,26.76001546672901,24.982419842187337,26.183497719215573,19935318
